time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
0.0200,0.121933,1.576508,0.348648,25.196780,352.709700,3.205617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.360000,0.000000,0.000000,0.000000,0.000000
0.1424,0.114503,1.574196,0.347401,26.611130,348.636700,3.112451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306002,1.737570,-2.340616,326.680900,55.617400,190.590000
0.1607,0.111212,1.573583,0.346752,26.961790,346.330000,2.927644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305997,1.737532,-2.340549,326.680700,55.614450,190.591300
0.1736,0.108745,1.573192,0.346235,27.259010,344.509500,2.763346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305990,1.737521,-2.340499,326.681000,55.615100,190.590700
0.1955,0.105764,1.572597,0.345352,27.731620,342.168800,2.443923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305975,1.737434,-2.340465,326.681600,55.613750,190.590400
0.2072,0.104157,1.572210,0.344825,28.020670,340.851700,2.354595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305973,1.737440,-2.340435,326.681700,55.614800,190.590100
0.2174,0.102357,1.571707,0.344178,28.366170,339.309200,2.224486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305972,1.737447,-2.340405,326.681500,55.614070,190.590700
0.2291,0.100402,1.571070,0.343443,28.706980,337.585300,1.978325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305975,1.737445,-2.340388,326.682000,55.614520,190.590900
0.2405,0.098377,1.570436,0.342688,29.129270,335.802400,1.647866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305978,1.737454,-2.340397,326.682200,55.614300,190.590800
0.2516,0.096229,1.569624,0.341818,29.580700,333.917000,1.164318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305973,1.737463,-2.340399,326.682400,55.614910,190.590900
0.2627,0.094058,1.568752,0.340882,30.100000,332.013200,0.572660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305971,1.737473,-2.340389,326.682300,55.615080,190.591100
0.2739,0.091928,1.567832,0.339948,30.655340,330.102100,359.923600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305967,1.737487,-2.340390,326.682200,55.613830,190.591500
0.2854,0.089847,1.566828,0.338900,31.233020,328.212200,359.192800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305959,1.737508,-2.340402,326.681500,55.613470,190.591700
0.2967,0.087892,1.565891,0.337879,31.769240,326.382300,358.388000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305950,1.737527,-2.340423,326.681200,55.614740,190.591000
0.3076,0.086112,1.565124,0.336839,32.237650,324.713400,357.522500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305941,1.737540,-2.340439,326.679900,55.615010,190.590100
0.3193,0.084409,1.564579,0.335913,32.610140,323.267200,356.795500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305930,1.737563,-2.340490,326.678600,55.615120,190.590100
0.3302,0.082795,1.564129,0.335110,32.820140,322.013000,356.267300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305921,1.737586,-2.340540,326.677700,55.614580,190.591000
0.3416,0.081340,1.563872,0.334414,32.848040,320.969600,355.994700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305909,1.737616,-2.340585,326.676400,55.614650,190.591600
0.3529,0.080034,1.563631,0.333784,32.838600,319.981800,355.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.306478,1.737047,-2.339783,326.695700,55.606000,190.591100
0.3635,0.078858,1.563455,0.333117,32.774040,319.157700,355.960900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307216,1.736302,-2.338737,326.722900,55.594090,190.592100
0.3750,0.077675,1.563332,0.332425,32.712130,318.383000,355.916900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307662,1.735834,-2.338477,326.730000,55.591840,190.587600
0.3861,0.076615,1.563212,0.331710,32.706520,317.620500,355.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307916,1.735556,-2.338578,326.731000,55.594850,190.581100
0.3985,0.075680,1.563084,0.330924,32.745030,316.979200,355.776100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308195,1.735208,-2.338640,326.730700,55.596440,190.576300
0.4197,0.073993,1.562922,0.329390,32.949710,315.907000,355.775300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308581,1.734710,-2.338562,326.731600,55.597210,190.575500
0.4304,0.073219,1.562875,0.328662,33.052770,315.386800,355.764400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309109,1.734172,-2.337068,326.749400,55.582670,190.588000
0.4417,0.072502,1.562776,0.327939,33.118310,314.903000,355.738400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309597,1.733699,-2.335572,326.764000,55.566470,190.604600
0.4541,0.071748,1.562686,0.327244,33.202160,314.464600,355.673900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309905,1.733337,-2.334439,326.772100,55.558160,190.616900
0.4748,0.070356,1.562391,0.325973,33.416190,313.657900,355.474500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310257,1.732829,-2.332464,326.778400,55.542320,190.639400
0.4867,0.069761,1.562246,0.325413,33.560080,313.266300,355.294000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310315,1.732687,-2.331743,326.778600,55.537460,190.646500
0.4973,0.069223,1.562083,0.324888,33.737580,312.924900,355.142800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310339,1.732555,-2.331004,326.775700,55.533720,190.656200
0.5085,0.068759,1.561929,0.324399,33.855260,312.630200,354.988100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310330,1.732476,-2.330473,326.774000,55.530990,190.661800
0.5199,0.068325,1.561794,0.323956,33.967240,312.333400,354.847700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310139,1.732517,-2.329791,326.766200,55.525400,190.675700
0.5306,0.067877,1.561665,0.323491,34.063620,312.077800,354.700700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310043,1.732502,-2.329290,326.762100,55.525250,190.676800
0.5421,0.067538,1.561575,0.323045,34.163420,311.820100,354.565100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309970,1.732487,-2.328879,326.757100,55.522130,190.684400
0.5533,0.067189,1.561507,0.322616,34.274670,311.557800,354.444700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309831,1.732526,-2.328465,326.751900,55.521150,190.687000
0.5636,0.066854,1.561436,0.322201,34.368890,311.318100,354.353800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309665,1.732617,-2.328159,326.744000,55.519960,190.689800
0.5751,0.066439,1.561376,0.321775,34.417320,311.030700,354.202800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309523,1.732680,-2.327784,326.741000,55.518340,190.692600
0.5865,0.066015,1.561360,0.321325,34.432820,310.736900,354.110100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309456,1.732744,-2.327382,326.737800,55.516770,190.695800
0.5973,0.065329,1.561366,0.320793,34.380630,310.288000,353.947600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309353,1.732905,-2.326828,326.735000,55.515960,190.695500
