time,frame_id,marker_id,pos_x,pos_y,pos_z
0.0984,0,6639,0.665390,0.003938,0.173314
0.0984,0,6642,0.802094,0.004711,0.144006
0.0984,0,6649,0.997005,-0.000353,0.197844
0.0984,0,6650,0.373449,0.008142,0.159012
0.1224,0,6639,0.665383,0.003936,0.173306
0.1224,0,6642,0.802096,0.004703,0.144000
0.1224,0,6649,0.997005,-0.000340,0.197851
0.1224,0,6650,0.373454,0.008135,0.159007
0.1265,0,6639,0.665393,0.003940,0.173314
0.1265,0,6642,0.802099,0.004715,0.144003
0.1265,0,6649,0.997012,-0.000347,0.197851
0.1265,0,6650,0.373454,0.008129,0.159006
0.1414,0,6639,0.665384,0.003935,0.173306
0.1414,0,6642,0.802089,0.004713,0.143994
0.1414,0,6649,0.997013,-0.000338,0.197855
0.1414,0,6650,0.373454,0.008137,0.159012
0.1527,0,6639,0.665392,0.003941,0.173311
0.1527,0,6642,0.802098,0.004704,0.144003
0.1527,0,6649,0.997004,-0.000355,0.197843
0.1527,0,6650,0.373458,0.008131,0.159015
0.1636,0,6639,0.665386,0.003930,0.173309
0.1636,0,6642,0.802092,0.004706,0.143996
0.1636,0,6649,0.997010,-0.000339,0.197856
0.1636,0,6650,0.373458,0.008130,0.159009
0.1747,0,6639,0.665390,0.003940,0.173313
0.1747,0,6642,0.802099,0.004712,0.144000
0.1747,0,6649,0.997011,-0.000340,0.197851
0.1747,0,6650,0.373454,0.008128,0.159009
0.1859,0,6639,0.665388,0.003945,0.173310
0.1859,0,6642,0.802094,0.004709,0.144003
0.1859,0,6649,0.997006,-0.000362,0.197838
0.1859,0,6650,0.373452,0.008128,0.159006
0.1971,0,6639,0.665389,0.003936,0.173308
0.1971,0,6642,0.802095,0.004710,0.144005
0.1971,0,6649,0.997010,-0.000341,0.197853
0.1971,0,6650,0.373455,0.008135,0.159012
0.2070,0,6639,0.665389,0.003940,0.173316
0.2070,0,6642,0.802097,0.004707,0.144006
0.2070,0,6649,0.997003,-0.000354,0.197843
0.2070,0,6650,0.373452,0.008133,0.159013
0.2191,0,6639,0.665390,0.003947,0.173316
0.2191,0,6642,0.802092,0.004713,0.144000
