time,frame_id,marker_id,pos_x,pos_y,pos_z
1,7410,8363,7251,0.000000,1.400000,0.600000
1,7410,8363,7252,0.008750,1.249000,0.600000
1,7410,8363,7253,0.017500,1.098000,0.600000
1,7547,8364,7251,0.000000,1.400000,0.600000
1,7547,8364,7252,0.008750,1.249000,0.600000
1,7547,8364,7253,0.017500,1.098000,0.600000
1,7670,8366,7251,0.000000,1.400000,0.600000
1,7670,8366,7252,0.008750,1.249000,0.600000
1,7670,8366,7253,0.017500,1.098000,0.600000
1,7861,8367,7251,0.000000,1.400000,0.600000
1,7861,8367,7252,0.008750,1.249000,0.600000
1,7861,8367,7253,0.017500,1.098000,0.600000
1,7948,8368,7251,0.000000,1.400000,0.600000
1,7948,8368,7252,0.008750,1.249000,0.600000
1,7948,8368,7253,0.017500,1.098000,0.600000
1,8044,8369,7251,0.000000,1.400000,0.600000
1,8044,8369,7252,0.008750,1.249000,0.600000
1,8044,8369,7253,0.017500,1.098000,0.600000
1,8127,8370,7251,0.000000,1.400000,0.600000
1,8127,8370,7252,0.008750,1.249000,0.600000
1,8127,8370,7253,0.017500,1.098000,0.600000
1,8204,8371,7251,0.000000,1.400000,0.600000
1,8204,8371,7252,0.008750,1.249000,0.600000
1,8204,8371,7253,0.017500,1.098000,0.600000
1,8350,8372,7251,0.000000,1.400000,0.600000
1,8350,8372,7252,0.008750,1.249000,0.600000
1,8350,8372,7253,0.017500,1.098000,0.600000
1,8430,8373,7251,0.000000,1.400000,0.600000
1,8430,8373,7252,0.008750,1.249000,0.600000
1,8430,8373,7253,0.017500,1.098000,0.600000
1,8500,8374,7251,0.000000,1.400000,0.600000
1,8500,8374,7252,0.008750,1.249000,0.600000
1,8500,8374,7253,0.017500,1.098000,0.600000
1,8612,8375,7251,0.000000,1.400000,0.600000
1,8612,8375,7252,0.008750,1.249000,0.600000
1,8612,8375,7253,0.017500,1.098000,0.600000
1,8749,8376,7251,0.000000,1.400000,0.600000
1,8749,8376,7252,0.008750,1.249000,0.600000
