timestamp,trial,phase,silent,cross_x,cross_y,cross_z,hand_unity_x,hand_unity_y,hand_unity_z,hand_raw_x,hand_raw_y,hand_raw_z,vel_x,vel_y,vel_z,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w
0.0178,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1850,0.7251,0.3482,0.1349,0.0567,0.0003,0.0010,0.0006,0.1324,1.6016,0.2571,0.2637,-0.1613,0.1171,0.9438
0.0298,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1850,0.7251,0.3482,0.1348,0.0566,0.0002,0.0009,-0.0006,0.1357,1.6019,0.2596,0.2647,-0.1476,0.1119,0.9464
0.0392,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1850,0.7251,0.3483,0.1348,0.0566,0.0001,0.0007,-0.0009,0.1373,1.6020,0.2608,0.2651,-0.1407,0.1095,0.9476
0.0540,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1851,0.7251,0.3483,0.1349,0.0566,0.0001,0.0005,-0.0006,0.1390,1.6022,0.2619,0.2656,-0.1340,0.1070,0.9487
0.0614,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1851,0.7251,0.3484,0.1349,0.0566,-0.0002,0.0009,-0.0001,0.1406,1.6023,0.2631,0.2657,-0.1274,0.1050,0.9498
0.0728,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1851,0.7251,0.3484,0.1350,0.0566,-0.0002,0.0005,0.0002,0.1423,1.6024,0.2642,0.2658,-0.1206,0.1032,0.9509
0.0866,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1851,0.7251,0.3484,0.1350,0.0566,-0.0005,0.0003,0.0006,0.1439,1.6024,0.2653,0.2662,-0.1138,0.1015,0.9518
0.1009,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1851,0.7251,0.3483,0.1351,0.0567,-0.0008,0.0002,0.0010,0.1453,1.6025,0.2663,0.2668,-0.1074,0.0997,0.9525
0.1060,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1851,0.7252,0.3483,0.1352,0.0567,-0.0023,0.0005,0.0026,0.1468,1.6024,0.2672,0.2676,-0.1017,0.0991,0.9530
0.1202,0,PreCue,0,-0.0046,1.1550,0.6441,0.3589,1.1851,0.7252,0.3483,0.1353,0.0567,-0.0014,0.0003,0.0015,0.1482,1.6024,0.2682,0.2686,-0.0960,0.0983,0.9534
0.1281,0,PreCue,0,-0.0046,1.1550,0.6441,0.3588,1.1851,0.7252,0.3482,0.1354,0.0567,-0.0024,0.0001,0.0018,0.1495,1.6024,0.2693,0.2691,-0.0909,0.0975,0.9538
0.1388,0,PreCue,0,-0.0046,1.1550,0.6441,0.3588,1.1851,0.7252,0.3481,0.1356,0.0567,-0.0019,0.0001,0.0013,0.1507,1.6024,0.2704,0.2690,-0.0858,0.0968,0.9544
0.1502,0,PreCue,0,-0.0046,1.1550,0.6441,0.3588,1.1851,0.7252,0.3480,0.1357,0.0567,-0.0017,0.0000,0.0010,0.1519,1.6024,0.2715,0.2688,-0.0810,0.0968,0.9549
0.1613,0,PreCue,0,-0.0046,1.1550,0.6441,0.3588,1.1851,0.7252,0.3479,0.1358,0.0567,-0.0018,0.0000,0.0005,0.1529,1.6024,0.2726,0.2684,-0.0760,0.0971,0.9554
0.1725,0,PreCue,0,-0.0046,1.1550,0.6441,0.3588,1.1851,0.7252,0.3479,0.1359,0.0566,-0.0020,0.0000,-0.0001,0.1538,1.6023,0.2737,0.2683,-0.0718,0.0979,0.9557
0.1836,0,PreCue,0,-0.0046,1.1550,0.6441,0.3587,1.1851,0.7252,0.3478,0.1360,0.0565,-0.0026,0.0002,-0.0009,0.1546,1.6021,0.2746,0.2681,-0.0684,0.0987,0.9559
0.1986,0,PreCue,0,-0.0046,1.1550,0.6441,0.3587,1.1851,0.7251,0.3478,0.1362,0.0564,-0.0029,0.0003,-0.0012,0.1551,1.6018,0.2755,0.2683,-0.0651,0.0993,0.9560
0.2062,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1851,0.7251,0.3477,0.1363,0.0564,-0.0068,0.0011,-0.0027,0.1555,1.6015,0.2762,0.2687,-0.0636,0.0998,0.9559
0.2168,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1851,0.7251,0.3477,0.1364,0.0563,-0.0052,0.0007,-0.0018,0.1556,1.6010,0.2768,0.2696,-0.0625,0.1011,0.9556
0.2281,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1851,0.7251,0.3476,0.1365,0.0563,-0.0050,0.0006,-0.0013,0.1555,1.6004,0.2772,0.2713,-0.0634,0.1037,0.9548
0.2395,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1851,0.7251,0.3475,0.1365,0.0565,-0.0041,0.0004,-0.0003,0.1552,1.5997,0.2774,0.2737,-0.0658,0.1067,0.9536
0.2504,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7251,0.3474,0.1365,0.0565,-0.0028,0.0001,0.0006,0.1546,1.5989,0.2773,0.2768,-0.0698,0.1100,0.9521
0.2615,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7251,0.3474,0.1363,0.0566,-0.0015,-0.0002,0.0010,0.1538,1.5981,0.2772,0.2799,-0.0742,0.1119,0.9506
0.2726,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7251,0.3473,0.1362,0.0566,-0.0005,-0.0004,0.0012,0.1529,1.5973,0.2770,0.2829,-0.0792,0.1130,0.9492
0.2838,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7252,0.3472,0.1360,0.0566,-0.0003,-0.0005,0.0012,0.1519,1.5966,0.2766,0.2851,-0.0849,0.1150,0.9478
0.2952,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7252,0.3471,0.1358,0.0565,-0.0006,-0.0004,0.0010,0.1508,1.5958,0.2761,0.2874,-0.0911,0.1173,0.9462
0.3063,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7252,0.3469,0.1356,0.0565,-0.0010,-0.0003,0.0008,0.1497,1.5952,0.2755,0.2895,-0.0981,0.1201,0.9445
0.3176,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7252,0.3467,0.1353,0.0564,-0.0011,-0.0004,0.0006,0.1485,1.5947,0.2748,0.2914,-0.1047,0.1211,0.9431
0.3287,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7252,0.3463,0.1349,0.0562,-0.0002,-0.0005,0.0002,0.1473,1.5942,0.2740,0.2930,-0.1108,0.1213,0.9419
0.3398,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1851,0.7252,0.3462,0.1347,0.0561,0.0009,-0.0006,-0.0004,0.1462,1.5939,0.2732,0.2941,-0.1173,0.1219,0.9407
0.3544,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1851,0.7251,0.3460,0.1345,0.0559,0.0014,-0.0006,-0.0008,0.1449,1.5936,0.2723,0.2950,-0.1235,0.1234,0.9394
0.3619,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7251,0.3459,0.1343,0.0558,0.0036,-0.0010,-0.0026,0.1438,1.5936,0.2715,0.2956,-0.1296,0.1257,0.9381
0.3727,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7251,0.3458,0.1342,0.0557,0.0027,-0.0007,-0.0022,0.1427,1.5935,0.2708,0.2957,-0.1358,0.1274,0.9370
0.3840,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7251,0.3458,0.1341,0.0556,0.0023,-0.0006,-0.0023,0.1417,1.5936,0.2702,0.2950,-0.1414,0.1292,0.9361
0.3951,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1850,0.7250,0.3458,0.1340,0.0555,0.0017,-0.0007,-0.0023,0.1408,1.5937,0.2696,0.2947,-0.1467,0.1309,0.9351
0.4063,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1850,0.7250,0.3458,0.1340,0.0554,0.0010,-0.0007,-0.0020,0.1399,1.5938,0.2691,0.2941,-0.1521,0.1331,0.9342
0.4177,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1850,0.7250,0.3459,0.1340,0.0554,0.0005,-0.0006,-0.0015,0.1392,1.5940,0.2687,0.2935,-0.1568,0.1347,0.9333
0.4286,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1850,0.7250,0.3458,0.1340,0.0553,0.0000,-0.0009,-0.0009,0.1386,1.5942,0.2683,0.2931,-0.1611,0.1361,0.9325
0.4396,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7250,0.3458,0.1340,0.0553,-0.0003,-0.0009,-0.0006,0.1382,1.5946,0.2681,0.2926,-0.1645,0.1377,0.9319
0.4542,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7250,0.3457,0.1341,0.0553,-0.0004,-0.0008,-0.0003,0.1378,1.5949,0.2679,0.2915,-0.1675,0.1398,0.9314
0.4618,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7250,0.3457,0.1341,0.0553,-0.0006,-0.0012,-0.0002,0.1377,1.5955,0.2678,0.2900,-0.1701,0.1414,0.9311
0.4728,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7250,0.3456,0.1341,0.0552,-0.0004,-0.0008,-0.0001,0.1382,1.5966,0.2680,0.2889,-0.1720,0.1418,0.9310
0.4840,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1850,0.7250,0.3455,0.1341,0.0552,-0.0002,-0.0006,-0.0001,0.1391,1.5986,0.2683,0.2848,-0.1665,0.1360,0.9342
0.4952,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1849,0.7250,0.3453,0.1341,0.0551,0.0000,-0.0006,-0.0001,0.1392,1.6005,0.2685,0.2811,-0.1575,0.1366,0.9368
0.5063,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1849,0.7250,0.3451,0.1340,0.0551,0.0002,-0.0006,0.0000,0.1399,1.6012,0.2694,0.2747,-0.1580,0.1398,0.9381
0.5179,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1849,0.7250,0.3449,0.1339,0.0550,0.0003,-0.0007,0.0004,0.1411,1.6013,0.2699,0.2661,-0.1572,0.1435,0.9401
0.5287,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1849,0.7250,0.3445,0.1335,0.0549,0.0005,-0.0010,0.0015,0.1421,1.6017,0.2702,0.2631,-0.1560,0.1474,0.9406
0.5397,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1849,0.7251,0.3443,0.1332,0.0549,0.0006,-0.0009,0.0018,0.1431,1.6019,0.2702,0.2653,-0.1548,0.1491,0.9399
0.5510,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1849,0.7251,0.3441,0.1330,0.0548,0.0006,-0.0011,0.0016,0.1437,1.6015,0.2701,0.2687,-0.1565,0.1459,0.9392
0.5623,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1849,0.7251,0.3439,0.1328,0.0547,0.0003,-0.0011,0.0013,0.1442,1.6006,0.2697,0.2755,-0.1606,0.1398,0.9374
0.5734,0,PreCue,0,-0.0046,1.1550,0.6441,0.3586,1.1849,0.7251,0.3438,0.1325,0.0545,-0.0002,-0.0011,0.0005,0.1451,1.5995,0.2693,0.2824,-0.1641,0.1333,0.9357
0.5843,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1849,0.7251,0.3436,0.1322,0.0543,-0.0009,-0.0008,-0.0002,0.1462,1.5986,0.2690,0.2893,-0.1653,0.1262,0.9344
0.5964,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1849,0.7251,0.3435,0.1319,0.0542,-0.0015,-0.0005,-0.0007,0.1471,1.5984,0.2688,0.2962,-0.1654,0.1222,0.9327
0.6070,0,PreCue,0,-0.0046,1.1550,0.6441,0.3585,1.1849,0.7250,0.3433,0.1316,0.0540,-0.0024,-0.0003,-0.0014,0.1480,1.5982,0.2689,0.3010,-0.1657,0.1216,0.9312
0.6181,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1849,0.7250,0.3431,0.1313,0.0538,-0.0025,-0.0002,-0.0019,0.1491,1.5982,0.2689,0.3051,-0.1656,0.1223,0.9298
0.6326,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1849,0.7250,0.3427,0.1307,0.0535,-0.0024,-0.0001,-0.0026,0.1503,1.5982,0.2688,0.3100,-0.1642,0.1226,0.9284
0.6397,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1849,0.7249,0.3425,0.1303,0.0534,-0.0041,0.0003,-0.0055,0.1514,1.5984,0.2686,0.3164,-0.1623,0.1232,0.9265
0.6511,0,PreCue,0,-0.0046,1.1550,0.6441,0.3584,1.1849,0.7249,0.3424,0.1300,0.0532,-0.0028,0.0001,-0.0039,0.1524,1.5987,0.2685,0.3223,-0.1607,0.1228,0.9248
0.6617,0,PreCue,0,-0.0046,1.1550,0.6441,0.3583,1.1849,0.7248,0.3423,0.1296,0.0532,-0.0030,0.0003,-0.0040,0.1531,1.5995,0.2689,0.3270,-0.1585,0.1227,0.9235
0.6729,0,PreCue,0,-0.0046,1.1550,0.6441,0.3583,1.1849,0.7248,0.3421,0.1293,0.0531,-0.0032,0.0004,-0.0038,0.1535,1.6006,0.2693,0.3294,-0.1561,0.1238,0.9229
0.6841,0,PreCue,0,-0.0046,1.1550,0.6441,0.3582,1.1849,0.7248,0.3420,0.1290,0.0530,-0.0040,0.0003,-0.0036,0.1541,1.6016,0.2698,0.3280,-0.1537,0.1233,0.9239
0.6956,0,PreCue,0,-0.0046,1.1550,0.6441,0.3582,1.1849,0.7247,0.3419,0.1286,0.0529,-0.0048,0.0005,-0.0034,0.1547,1.6027,0.2703,0.3265,-0.1505,0.1217,0.9252
0.7065,0,PreCue,0,-0.0046,1.1550,0.6441,0.3581,1.1849,0.7247,0.3417,0.1282,0.0528,-0.0058,0.0006,-0.0033,0.1552,1.6038,0.2707,0.3241,-0.1450,0.1193,0.9272
0.7177,0,PreCue,0,-0.0046,1.1550,0.6441,0.3580,1.1849,0.7247,0.3415,0.1279,0.0528,-0.0064,0.0006,-0.0030,0.1558,1.6046,0.2709,0.3211,-0.1382,0.1163,0.9297
0.7291,0,PreCue,0,-0.0046,1.1550,0.6441,0.3579,1.1849,0.7246,0.3411,0.1271,0.0527,-0.0074,0.0008,-0.0028,0.1562,1.6052,0.2710,0.3178,-0.1315,0.1137,0.9321
